age,income,loan_amount,loan_tenure_months,avg_dpd_per_delinquency,delinquency_ratio,credit_utilization_ratio,num_open_accounts,residence_type,loan_purpose,loan_type,default
34,21768.76,8827.6,24,6.7,0.4005,0.7665,4,Rented,Home,Secured,1
43,3000.0,9999.16,24,7.3,0.1388,0.061,3,Rented,Personal,Unsecured,0
60,21246.43,10908.48,18,7.5,0.056,0.2598,1,Rented,Personal,Unsecured,0
41,38971.8,15332.32,24,2.0,0.2537,0.1491,5,Mortgage,Education,Secured,0
36,3000.0,15995.9,36,26.3,0.1373,0.3112,4,Mortgage,Home,Secured,1
38,17568.86,9842.19,12,11.1,0.0367,0.2404,7,Owned,Personal,Unsecured,0
44,3000.0,6245.08,18,22.7,0.1282,0.5157,4,Owned,Home,Secured,0
46,10846.87,13813.2,60,3.7,0.0662,0.1521,7,Owned,Personal,Unsecured,1
45,3000.0,15659.57,24,5.3,0.0009,0.0636,5,Owned,Personal,Unsecured,0
61,19276.34,11329.25,6,4.2,0.0809,0.2493,3,Rented,Personal,Unsecured,1
49,24348.84,8431.95,12,19.0,0.2053,0.1557,2,Owned,Education,Unsecured,0
35,21277.91,9610.15,18,8.9,0.1895,0.1576,3,Owned,Personal,Secured,0
21,10558.54,20196.7,12,2.6,0.0608,0.5765,1,Rented,Education,Secured,0
45,13124.84,13108.65,36,7.1,0.0529,0.0641,6,Owned,Home,Secured,0
27,20178.18,17066.96,48,8.1,0.0903,0.2583,1,Mortgage,Personal,Unsecured,0
29,10808.61,7984.54,24,19.4,0.0777,0.3285,5,Owned,Auto,Unsecured,1
44,7369.64,18051.23,48,3.1,0.0508,0.4277,6,Rented,Education,Unsecured,0
21,16086.98,16473.43,60,3.1,0.0331,0.1217,1,Owned,Personal,Secured,1
64,10442.33,11487.93,24,1.5,0.0162,0.3005,1,Owned,Home,Unsecured,1
28,21292.46,15044.7,24,1.5,0.0204,0.1211,5,Rented,Auto,Unsecured,0
44,28389.58,18469.67,60,1.1,0.1694,0.3134,5,Rented,Auto,Secured,0
31,38780.67,6459.89,6,0.2,0.1096,0.3008,7,Owned,Education,Unsecured,0
37,20704.54,9371.33,36,2.5,0.0095,0.3185,5,Owned,Education,Unsecured,0
28,23167.78,14620.17,6,3.0,0.1759,0.7075,7,Mortgage,Personal,Unsecured,1
55,13205.46,12101.24,60,8.4,0.1429,0.6265,5,Owned,Auto,Unsecured,0
55,13700.99,14056.45,36,3.1,0.0863,0.2887,5,Rented,Personal,Unsecured,0
53,28272.45,15440.77,36,26.0,0.0001,0.2469,7,Rented,Personal,Secured,0
25,15789.38,14493.11,60,0.5,0.1565,0.2601,4,Rented,Auto,Secured,0
62,18583.58,10735.82,36,5.5,0.3108,0.3246,6,Owned,Personal,Unsecured,0
59,27783.81,11080.23,24,1.9,0.0171,0.3285,6,Rented,Home,Unsecured,0
61,15850.98,19776.69,60,0.5,0.0709,0.2884,2,Rented,Home,Unsecured,0
48,30003.36,12431.01,24,4.8,0.0061,0.1323,5,Rented,Education,Unsecured,0
27,22584.23,18776.59,24,11.2,0.1898,0.2188,2,Rented,Personal,Unsecured,0
29,21643.19,19124.12,6,23.6,0.1224,0.2145,1,Rented,Home,Unsecured,0
28,12814.49,8095.26,18,0.3,0.0813,0.6004,4,Owned,Personal,Secured,0
32,22073.01,15677.55,48,16.4,0.1232,0.4256,5,Rented,Personal,Unsecured,0
54,14567.63,6598.94,60,1.6,0.1239,0.1048,6,Rented,Education,Secured,0
53,21755.27,20085.83,60,4.7,0.023,0.0331,7,Mortgage,Home,Secured,0
43,17185.4,12942.79,60,10.4,0.177,0.3261,7,Rented,Personal,Unsecured,1
44,25734.48,12700.08,36,3.3,0.1621,0.1841,7,Owned,Personal,Unsecured,0
57,17745.83,7674.38,60,24.1,0.0159,0.0576,4,Rented,Personal,Secured,0
55,34302.86,8966.05,60,7.7,0.1067,0.2802,3,Rented,Home,Unsecured,0
64,15795.62,13130.95,6,9.8,0.2517,0.1026,2,Owned,Personal,Secured,0
60,13723.4,12454.96,24,2.0,0.0748,0.1668,6,Rented,Personal,Unsecured,0
42,20768.91,10074.42,48,5.9,0.205,0.5924,6,Rented,Personal,Unsecured,0
47,26622.97,16391.7,24,0.0,0.0255,0.6125,6,Rented,Auto,Unsecured,0
55,26560.79,11987.69,18,7.0,0.0978,0.3206,7,Rented,Home,Unsecured,0
21,19334.25,6946.68,24,6.8,0.0088,0.0957,5,Owned,Home,Unsecured,0
55,20712.71,15601.91,36,4.9,0.1714,0.4616,2,Rented,Personal,Secured,0
57,20724.3,6203.62,12,9.0,0.3506,0.0451,2,Rented,Home,Unsecured,1
34,9377.02,2382.81,60,13.8,0.0137,0.583,3,Rented,Auto,Unsecured,0
23,26192.59,12480.78,48,0.6,0.0842,0.0915,7,Owned,Home,Unsecured,1
21,7937.15,6846.57,60,3.2,0.0145,0.1415,2,Owned,Personal,Secured,0
25,9392.01,12890.56,24,1.6,0.0287,0.6439,1,Rented,Auto,Secured,0
46,18440.22,16081.79,18,3.1,0.0287,0.202,2,Rented,Home,Secured,0
34,15441.12,16922.52,48,1.7,0.4103,0.1492,7,Rented,Personal,Unsecured,0
59,24369.26,14488.24,12,16.2,0.036,0.4228,7,Owned,Home,Unsecured,0
47,21578.82,5369.68,48,0.6,0.1078,0.226,7,Rented,Personal,Secured,0
29,19105.61,8399.24,60,1.3,0.13,0.44,7,Owned,Personal,Secured,0
35,8995.73,12027.08,60,9.2,0.0415,0.4072,3,Rented,Auto,Unsecured,1
35,18212.48,12075.4,36,50.4,0.2278,0.4357,3,Owned,Home,Secured,0
46,17579.91,7290.45,36,25.3,0.0228,0.3437,6,Rented,Education,Unsecured,0
62,19777.49,9687.84,36,9.5,0.0009,0.1719,5,Rented,Auto,Unsecured,0
33,14559.7,16051.79,18,5.1,0.0061,0.0335,1,Rented,Home,Secured,0
52,22182.54,14518.72,12,4.9,0.0051,0.3672,7,Rented,Education,Secured,0
59,15227.51,10457.73,36,20.1,0.1403,0.2097,2,Rented,Auto,Secured,0
52,21432.91,17148.26,60,0.3,0.2968,0.4188,6,Mortgage,Home,Secured,0
24,24368.38,5367.45,24,3.4,0.1647,0.1926,7,Mortgage,Personal,Secured,0
50,13723.24,16111.01,12,1.5,0.032,0.1311,3,Rented,Auto,Unsecured,0
57,11822.73,15422.97,36,2.3,0.0399,0.1234,3,Rented,Personal,Unsecured,0
43,21810.93,15733.46,12,0.8,0.0454,0.1457,2,Rented,Personal,Unsecured,0
59,7431.2,13482.31,48,3.0,0.1217,0.7533,2,Owned,Personal,Unsecured,0
35,26893.32,8733.76,24,2.8,0.0516,0.1018,5,Mortgage,Education,Unsecured,0
63,18087.7,14959.96,6,3.0,0.1398,0.6139,5,Owned,Auto,Secured,0
49,17081.93,9921.89,36,2.5,0.063,0.4849,1,Owned,Home,Unsecured,0
56,22368.13,13026.19,24,2.5,0.0553,0.3273,5,Rented,Personal,Secured,0
33,21871.64,8360.5,18,17.0,0.0307,0.0679,5,Rented,Personal,Secured,0
52,18052.14,10275.54,48,13.1,0.0078,0.1583,7,Rented,Education,Secured,0
27,25028.93,11283.75,36,11.6,0.2102,0.4403,4,Owned,Personal,Unsecured,1
42,12620.89,13998.62,6,2.7,0.0141,0.1609,2,Owned,Home,Secured,0
48,23698.85,14835.97,48,9.1,0.1977,0.2878,5,Owned,Home,Unsecured,0
22,9371.01,20478.5,24,13.8,0.116,0.0145,7,Mortgage,Education,Unsecured,1
62,22085.19,12740.63,48,2.4,0.2183,0.423,4,Owned,Home,Unsecured,0
26,15377.01,7261.35,24,5.4,0.0895,0.4447,4,Rented,Personal,Secured,0
48,7511.31,15999.83,12,8.5,0.2658,0.081,6,Rented,Education,Secured,0
48,20053.14,13688.17,36,2.9,0.0392,0.1314,5,Rented,Personal,Unsecured,0
64,17724.59,11048.14,6,13.1,0.2209,0.3693,3,Rented,Personal,Secured,0
64,5658.2,9997.63,18,8.7,0.1782,0.2934,5,Owned,Home,Unsecured,0
40,3000.0,8908.82,12,3.6,0.1622,0.2701,5,Rented,Personal,Unsecured,0
50,16781.89,8742.72,36,4.5,0.1423,0.3628,2,Mortgage,Personal,Unsecured,0
31,30945.81,5897.67,6,4.5,0.0816,0.1372,3,Mortgage,Personal,Secured,0
48,20568.12,16827.55,12,6.3,0.0124,0.1796,6,Rented,Home,Unsecured,0
45,12653.57,14174.0,6,7.9,0.008,0.1093,1,Rented,Personal,Unsecured,1
59,26654.96,12465.29,48,6.5,0.1731,0.212,5,Mortgage,Personal,Unsecured,0
53,25257.79,8896.25,6,1.6,0.0708,0.3322,5,Rented,Personal,Unsecured,0
21,28172.63,17446.84,12,10.9,0.3327,0.1861,2,Owned,Home,Unsecured,1
47,23471.18,4896.82,12,1.1,0.0408,0.2449,1,Owned,Education,Unsecured,0
33,25087.22,11345.04,36,1.8,0.0237,0.1142,4,Rented,Home,Unsecured,0
61,23848.87,16910.73,12,10.6,0.0034,0.1079,3,Rented,Home,Secured,0
23,14179.96,2036.86,60,5.9,0.0432,0.2971,1,Owned,Home,Unsecured,0
59,4901.75,12880.25,60,8.4,0.1276,0.3357,6,Owned,Auto,Unsecured,0
26,13830.92,8699.21,48,3.2,0.1364,0.3789,5,Owned,Personal,Unsecured,0
28,26839.5,12605.81,60,0.7,0.0004,0.2357,4,Rented,Home,Unsecured,0
47,14951.91,10127.75,36,28.1,0.2458,0.2906,7,Owned,Home,Unsecured,0
29,16836.33,14968.46,6,7.3,0.1138,0.4156,7,Owned,Home,Unsecured,0
57,8673.72,18162.72,12,6.2,0.2938,0.0651,2,Rented,Home,Unsecured,0
53,13591.28,24566.63,36,27.2,0.2123,0.4243,5,Owned,Auto,Unsecured,0
62,17927.29,11433.0,36,41.2,0.0894,0.1554,2,Rented,Auto,Secured,1
64,21940.5,15689.86,18,0.6,0.3153,0.2802,3,Rented,Home,Unsecured,0
44,14330.71,13710.77,36,3.9,0.1149,0.3849,2,Owned,Home,Unsecured,0
35,13771.7,14080.41,36,10.1,0.0395,0.2056,1,Mortgage,Education,Unsecured,0
52,24737.4,19379.0,18,22.4,0.1238,0.3435,1,Rented,Home,Secured,0
52,20602.13,8579.03,24,8.8,0.0269,0.3066,7,Rented,Auto,Unsecured,0
44,21589.38,10208.58,48,41.3,0.2219,0.262,3,Rented,Education,Unsecured,1
61,30226.56,11122.63,12,11.5,0.0007,0.444,7,Owned,Personal,Secured,0
32,13959.4,7075.76,18,0.1,0.106,0.0432,3,Rented,Home,Unsecured,0
59,17607.85,11992.63,60,6.8,0.0384,0.2973,3,Owned,Education,Secured,0
22,22409.28,15289.85,36,31.1,0.0888,0.4109,1,Rented,Education,Secured,0
23,11027.94,16141.81,36,2.0,0.103,0.4495,5,Rented,Education,Secured,0
57,19832.4,11080.87,12,27.4,0.1071,0.1757,1,Rented,Auto,Unsecured,0
37,18177.57,17710.18,48,3.1,0.1169,0.2649,6,Owned,Home,Unsecured,0
22,40218.4,1631.09,60,24.4,0.0624,0.2366,2,Rented,Personal,Unsecured,0
22,18798.96,23626.91,6,9.4,0.0254,0.2932,3,Rented,Education,Unsecured,0
48,27255.52,14836.28,18,4.6,0.0265,0.7415,4,Owned,Personal,Unsecured,0
43,24639.55,9847.82,24,24.2,0.1154,0.4673,1,Rented,Auto,Unsecured,0
57,8747.51,14310.51,12,0.9,0.0439,0.2939,7,Rented,Education,Unsecured,0
52,5609.41,11236.06,12,13.4,0.0097,0.175,4,Owned,Auto,Unsecured,0
53,19976.12,1553.91,18,9.0,0.0353,0.2973,5,Owned,Personal,Unsecured,0
21,28058.68,12234.53,36,4.8,0.4347,0.5167,1,Rented,Personal,Secured,0
39,20303.32,16557.53,36,7.7,0.0223,0.2121,5,Rented,Home,Secured,0
22,18630.81,16818.96,24,14.4,0.0986,0.1003,5,Rented,Personal,Unsecured,0
64,15727.31,13258.49,18,1.2,0.1358,0.4035,1,Mortgage,Education,Unsecured,0
46,7408.31,16788.86,12,3.1,0.0778,0.4886,1,Owned,Home,Secured,0
52,10315.83,14177.2,60,4.8,0.0312,0.2606,5,Owned,Education,Unsecured,0
26,5021.49,13112.88,18,13.2,0.2121,0.348,6,Owned,Personal,Unsecured,0
52,9175.63,8555.04,6,23.2,0.0609,0.5466,6,Mortgage,Education,Unsecured,0
24,13791.93,10263.95,12,27.0,0.1345,0.2639,3,Mortgage,Education,Unsecured,0
31,24208.13,10718.19,24,4.8,0.0265,0.2204,1,Rented,Auto,Unsecured,0
37,14439.46,13427.39,24,6.1,0.0556,0.2846,7,Rented,Personal,Secured,0
58,20045.01,16015.77,12,23.8,0.0387,0.3172,6,Rented,Personal,Unsecured,0
44,19081.83,8927.86,36,0.6,0.057,0.5006,5,Rented,Auto,Secured,0
25,21992.39,5041.2,12,13.2,0.1839,0.1117,2,Owned,Personal,Unsecured,0
54,9721.48,19198.8,12,9.1,0.0152,0.4543,4,Rented,Home,Secured,0
26,26473.55,7156.9,6,2.0,0.0213,0.4556,2,Mortgage,Auto,Unsecured,0
42,6742.58,14450.48,12,16.1,0.1235,0.3241,7,Owned,Home,Unsecured,0
31,14417.49,13265.92,48,0.8,0.0306,0.3946,1,Owned,Personal,Unsecured,0
36,17832.76,10278.32,60,1.3,0.0217,0.3818,7,Rented,Personal,Secured,0
53,24081.16,15037.29,48,8.0,0.2324,0.0914,1,Rented,Home,Secured,0
29,29034.47,5961.85,18,3.7,0.1183,0.5497,1,Owned,Education,Unsecured,0
26,24144.25,20153.65,18,1.1,0.2414,0.0869,1,Owned,Personal,Unsecured,1
36,29327.33,25174.39,60,12.0,0.0111,0.6254,6,Rented,Education,Secured,0
49,11366.59,18154.58,24,1.7,0.4603,0.2592,2,Owned,Home,Secured,1
23,27522.96,7949.55,36,39.3,0.001,0.3701,7,Owned,Auto,Unsecured,1
40,26149.25,1000.0,24,27.7,0.1443,0.2444,3,Owned,Personal,Unsecured,0
56,3000.0,14386.82,6,5.2,0.1978,0.2047,7,Rented,Education,Unsecured,0
39,16236.29,5533.14,12,13.8,0.0961,0.3736,6,Rented,Auto,Unsecured,0
46,22816.3,9934.2,60,16.4,0.027,0.4332,6,Rented,Education,Unsecured,0
23,13876.69,19614.11,24,8.2,0.1651,0.2108,5,Rented,Home,Unsecured,0
39,9313.4,20118.41,12,16.6,0.0199,0.1155,5,Owned,Personal,Unsecured,1
40,34913.4,20658.33,24,15.9,0.3537,0.3232,7,Rented,Personal,Unsecured,0
52,18888.32,12492.07,12,43.9,0.3865,0.0864,5,Rented,Home,Secured,0
27,19107.24,16483.0,24,3.4,0.0926,0.3245,4,Owned,Personal,Secured,0
61,7528.05,2042.79,48,21.0,0.1539,0.4102,1,Owned,Education,Unsecured,0
53,13101.11,4504.23,48,11.1,0.0849,0.4173,6,Owned,Auto,Unsecured,0
60,10817.27,10559.02,48,1.9,0.0007,0.1894,2,Rented,Personal,Unsecured,0
59,26631.8,16206.48,60,1.7,0.0577,0.1554,2,Rented,Personal,Secured,0
38,22037.07,9867.94,18,15.5,0.2873,0.0693,7,Owned,Auto,Unsecured,0
60,13435.49,16013.29,60,5.2,0.1075,0.1661,2,Mortgage,Home,Unsecured,0
21,22484.0,6232.23,60,20.9,0.1405,0.5665,3,Mortgage,Home,Unsecured,0
31,15971.84,12510.16,6,7.2,0.0148,0.1994,1,Mortgage,Education,Unsecured,1
48,19875.93,14749.41,24,3.7,0.018,0.1701,5,Rented,Personal,Unsecured,0
45,19838.11,15787.02,18,19.2,0.1911,0.157,5,Rented,Auto,Unsecured,0
43,21362.14,9742.2,60,24.5,0.3943,0.366,1,Owned,Education,Unsecured,1
51,20397.22,12143.31,60,6.5,0.1304,0.5961,6,Rented,Personal,Unsecured,0
50,21368.4,4296.29,36,6.7,0.086,0.4973,5,Rented,Personal,Unsecured,0
62,28046.47,11474.58,24,24.7,0.0743,0.1245,6,Owned,Auto,Unsecured,0
55,23124.5,17408.4,12,4.2,0.0541,0.6602,5,Owned,Education,Unsecured,0
27,15304.79,10685.55,6,10.1,0.102,0.1632,1,Owned,Personal,Unsecured,0
36,17216.38,8260.34,18,0.4,0.0354,0.2698,2,Rented,Personal,Unsecured,0
46,27841.36,15907.14,18,70.1,0.0177,0.4277,7,Rented,Personal,Unsecured,1
22,18899.38,23426.04,6,1.5,0.0696,0.5777,6,Rented,Auto,Secured,1
21,15007.85,22866.35,24,2.0,0.0974,0.4026,7,Owned,Home,Unsecured,1
32,12950.89,13307.11,12,1.7,0.0241,0.4264,4,Rented,Home,Unsecured,1
25,20184.3,15852.52,36,0.5,0.1125,0.3308,6,Rented,Auto,Secured,0
57,11161.15,20193.15,24,15.0,0.2835,0.445,7,Owned,Home,Unsecured,0
52,28278.36,13206.48,6,6.0,0.0772,0.383,7,Rented,Home,Secured,0
29,9697.45,14306.57,24,6.3,0.0871,0.2921,6,Mortgage,Auto,Unsecured,0
61,29824.54,10385.16,60,36.0,0.3692,0.0759,7,Mortgage,Personal,Unsecured,0
55,15718.16,23839.87,24,2.5,0.1264,0.1691,6,Mortgage,Auto,Unsecured,0
39,9386.1,15593.77,6,0.6,0.1288,0.1169,7,Owned,Personal,Secured,0
36,19513.41,10663.65,6,9.4,0.0016,0.4039,1,Rented,Home,Unsecured,1
23,10375.69,9123.33,36,5.8,0.0659,0.193,5,Rented,Personal,Unsecured,0
40,18274.97,2713.95,6,2.2,0.0135,0.1669,5,Mortgage,Auto,Secured,0
44,13379.65,4097.4,6,6.4,0.0779,0.4695,4,Rented,Home,Secured,0
53,25560.59,8369.25,6,2.1,0.0603,0.3163,4,Rented,Personal,Secured,0
44,19094.0,16641.64,60,31.3,0.344,0.0779,6,Rented,Personal,Secured,1
31,8491.99,13630.57,60,22.5,0.3048,0.1796,7,Rented,Home,Secured,0
28,13223.71,5725.99,60,7.4,0.2449,0.107,4,Mortgage,Education,Unsecured,0
56,23639.58,7367.41,18,6.0,0.1628,0.1901,1,Rented,Home,Unsecured,0
58,28296.74,13408.02,6,3.3,0.1309,0.4876,2,Rented,Education,Unsecured,0
60,17637.8,20367.38,6,12.9,0.0216,0.136,4,Rented,Education,Unsecured,0
40,9644.83,6490.2,6,1.5,0.1312,0.2379,6,Rented,Home,Unsecured,1
55,26432.29,14294.68,36,13.4,0.1973,0.535,3,Owned,Home,Unsecured,0
45,23604.51,9772.84,60,6.1,0.0031,0.5056,6,Mortgage,Personal,Unsecured,0
55,28452.32,9917.91,24,8.3,0.2507,0.1906,2,Owned,Auto,Secured,0
45,20321.67,6132.86,60,11.6,0.1597,0.1789,4,Rented,Personal,Secured,0
49,13835.22,15132.48,6,13.1,0.1659,0.1229,7,Owned,Personal,Unsecured,0
38,22135.11,9568.55,6,11.4,0.1514,0.2678,5,Mortgage,Education,Unsecured,0
38,20610.63,10242.35,36,3.7,0.1898,0.3147,7,Owned,Auto,Secured,0
22,13401.01,16921.64,24,1.6,0.0563,0.448,1,Rented,Home,Unsecured,0
55,19589.11,17182.52,36,3.5,0.0899,0.3837,5,Mortgage,Auto,Unsecured,0
36,16439.79,8350.91,48,1.9,0.1334,0.4139,5,Owned,Personal,Secured,0
61,23948.3,13484.7,12,19.6,0.1083,0.2202,1,Rented,Home,Unsecured,0
56,21936.06,16531.33,12,0.7,0.0455,0.0843,2,Rented,Personal,Secured,0
53,9587.27,11082.74,12,8.5,0.0199,0.4373,5,Rented,Education,Unsecured,0
24,8780.62,15352.02,6,25.6,0.1385,0.0824,2,Mortgage,Home,Secured,0
53,17281.51,10407.19,36,36.6,0.1539,0.3255,7,Rented,Home,Unsecured,0
34,18262.55,10269.18,6,21.7,0.388,0.1017,1,Owned,Personal,Unsecured,0
41,24087.81,7339.09,12,6.9,0.0975,0.2153,4,Rented,Home,Unsecured,0
40,22106.43,20559.97,24,9.5,0.0326,0.4353,5,Rented,Personal,Unsecured,0
28,29669.49,9578.2,24,1.6,0.0566,0.3236,5,Rented,Personal,Unsecured,1
27,14262.45,7994.01,48,2.4,0.1361,0.1876,1,Rented,Personal,Unsecured,0
23,13805.71,6773.11,36,2.5,0.1191,0.2592,1,Owned,Personal,Unsecured,0
37,10321.49,12422.58,48,7.6,0.2578,0.1592,4,Owned,Personal,Secured,0
53,23995.26,6915.25,60,8.1,0.0123,0.0629,7,Rented,Personal,Unsecured,1
32,18174.02,8437.25,24,2.4,0.1611,0.1127,1,Owned,Personal,Unsecured,0
42,3171.17,15994.78,12,2.1,0.0467,0.0806,7,Owned,Home,Secured,0
42,19617.32,14243.58,48,14.1,0.0618,0.2028,3,Owned,Home,Unsecured,0
50,20127.76,5273.42,48,2.8,0.0073,0.4314,3,Owned,Education,Unsecured,0
58,16845.22,15624.12,48,8.8,0.1015,0.1291,6,Owned,Home,Unsecured,0
58,20373.24,12163.94,36,2.3,0.0853,0.3282,6,Owned,Personal,Unsecured,0
28,8238.11,17685.81,60,7.1,0.0322,0.4875,1,Owned,Education,Unsecured,0
47,31128.25,19089.95,36,9.7,0.243,0.2696,4,Rented,Personal,Unsecured,0
47,21042.08,3956.63,12,37.5,0.0194,0.0896,7,Rented,Education,Secured,0
